Name,YT Scope Project,
File,C:\Users\nwbrown\workspace\GMD-GPI-40-disconnect\GPI-40-crash-04.csv,
Starttime of export,132371364756170000,Saturday, June 20, 2020,07:21:15.617
Endtime of export,132371364861070000,Saturday, June 20, 2020,07:21:26.107


Name,i_iPRESS_R
SymbolComment, input Pressure // Link to analog Input
Data-Type,INT16
SampleTime,10
VariableSize,2
SymbolBased,True
IndexGroup,61472
IndexOffset,1425784
SymbolName,GVL_GMD.fb_EM1K0_GMD_GPI_40.i_iPRESS_R
NetID,172.21.92.59.1.1
Port,851
Offset,0
ScaleFactor,1
BitMask,0xffffffffffffffff
Unit,(None)
Unit ScaleFactor,1
Unit Offset,0


0,565
10,565
20,565
30,567
40,568
50,567
60,565
70,565
80,565
90,564
100,564
110,565
120,567
130,565
140,565
150,565
160,564
170,565
180,564
190,565
200,567
210,567
220,565
230,564
240,564
250,565
260,567
270,567
280,565
290,563
300,564
310,565
320,567
330,568
340,567
350,565
360,565
370,565
380,565
390,564
400,563
410,565
420,567
430,564
440,564
450,564
460,563
470,563
480,565
490,564
500,564
510,565
520,567
530,567
540,564
550,562
560,564
570,568
580,568
590,568
600,567
610,564
620,564
630,564
640,563
650,564
660,564
670,565
680,567
690,564
700,564
710,567
720,567
730,564
740,567
750,567
760,564
770,564
780,565
790,565
800,565
810,565
820,567
830,565
840,564
850,565
860,565
870,565
880,564
890,564
900,564
910,565
920,567
930,565
940,565
950,564
960,564
970,567
980,568
990,567
1000,565
1010,565
1020,567
1030,567
1040,564
1050,564
1060,565
1070,565
1080,564
1090,563
1100,565
1110,565
1120,563
1130,564
1140,565
1150,565
1160,564
1170,564
1180,567
1190,567
1200,565
1210,564
1220,565
1230,565
1240,567
1250,565
1260,565
1270,565
1280,567
1290,565
1300,564
1310,563
1320,563
1330,565
1340,564
1350,564
1360,564
1370,564
1380,564
1390,565
1400,565
1410,565
1420,565
1430,567
1440,565
1450,564
1460,564
1470,563
1480,564
1490,564
1500,564
1510,565
1520,565
1530,567
1540,568
1550,567
1560,564
1570,564
1580,567
1590,567
1600,567
1610,567
1620,567
1630,567
1640,565
1650,564
1660,565
1670,564
1680,565
1690,567
1700,567
1710,567
1720,567
1730,568
1740,568
1750,565
1760,565
1770,567
1780,567
1790,565
1800,567
1810,567
1820,565
1830,565
1840,564
1850,565
1860,567
1870,565
1880,567
1890,567
1900,564
1910,564
1920,565
1930,565
1940,565
1950,565
1960,567
1970,567
1980,565
1990,565
2000,564
2010,567
2020,567
2030,565
2040,567
2050,568
2060,567
2070,565
2080,565
2090,565
2100,565
2110,565
2120,564
2130,565
2140,567
2150,567
2160,565
2170,564
2180,564
2190,565
2200,567
2210,567
2220,567
2230,565
2240,564
2250,565
2260,565
2270,565
2280,567
2290,564
2300,564
2310,567
2320,564
2330,564
2340,567
2350,568
2360,567
2370,564
2380,564
2390,565
2400,565
2410,565
2420,564
2430,565
2440,568
2450,568
2460,565
2470,564
2480,565
2490,565
2500,564
2510,565
2520,565
2530,565
2540,565
2550,565
2560,567
2570,567
2580,567
2590,564
2600,565
2610,567
2620,567
2630,565
2640,565
2650,565
2660,565
2670,565
2680,564
2690,565
2700,567
2710,567
2720,565
2730,565
2740,564
2750,564
2760,564
2770,564
2780,565
2790,565
2800,565
2810,567
2820,567
2830,565
2840,565
2850,564
2860,565
2870,565
2880,564
2890,565
2900,564
2910,563
2920,564
2930,565
2940,565
2950,564
2960,564
2970,564
2980,567
2990,565
3000,564
3010,565
3020,565
3030,565
3040,567
3050,565
3060,565
3070,567
3080,565
3090,562
3100,562
3110,565
3120,568
3130,567
3140,565
3150,565
3160,565
3170,563
3180,565
3190,567
3200,565
3210,565
3220,564
3230,564
3240,565
3250,565
3260,565
3270,565
3280,565
3290,565
3300,567
3310,565
3320,565
3330,565
3340,565
3350,565
3360,565
3370,565
3380,567
3390,567
3400,565
3410,567
3420,565
3430,564
3440,565
3450,567
3460,565
3470,565
3480,567
3490,565
3500,567
3510,565
3520,564
3530,564
3540,563
3550,563
3560,564
3570,563
3580,563
3590,564
3600,565
3610,567
3620,565
